202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Efectivo y equivalentes al efectivo;12472125000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Otros activos financieros corrientes;10679405000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Otros activos no financieros corrientes;65043000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Deudores comerciales y otras cuentas por cobrar corrientes;1690536000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Inventarios corrientes;494526000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Activos por impuestos corrientes, corrientes;623009000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios;26024644000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Activos corrientes totales;26024644000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Activos intangibles distintos de la plusvalía;26217000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Propiedades, planta y equipo;3669936000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Total de activos no corrientes;3696153000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Total de activos;29720797000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Cuentas por pagar comerciales y otras cuentas por pagar;16765586000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Cuentas por pagar a entidades relacionadas, corrientes;712561000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Provisiones corrientes por beneficios a los empleados;93192000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Otros pasivos no financieros corrientes;236177000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta;17807516000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Pasivos corrientes totales;17807516000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Pasivo por impuestos diferidos;456891000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Total de pasivos no corrientes;456891000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Total de pasivos;18264407000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Capital emitido y pagado;3252260000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Ganancias (pérdidas) acumuladas;7009590000;TAX CI;ESF C/NC
202203;61604000;POLLA CHILENA DE BENEFICENCIA S.A.;I;CLP;Otras reservas;1194540000;TAX CI;ESF C/NC
